Worker ID,Problem,Age,Gender,Hand,Education,Answer,Confidence,Subjective Difficulty,Objective Difficutly,Psolve,55,41,50,34,33,other,Class,group_number
A2FA9CORRV4FP4,KP_2,30,male,right,degree,50,7,7,3,80%,10%,15%,35%,15%,20%,5%,Non-Solver,5
A3U02OJYNFHG27,KP_2,30,male,right,degree,other,6,7,7,16%,10%,10%,50%,10%,10%,10%,Non-Solver,5
A2VFEDAK5C1E1O,KP_2,39,male,right,high,41,2,6,6,10%,18%,20%,18%,14%,17%,13%,Solver,5
A12A5GVJX5RZC4,KP_2,39,male,right,high,55,5,8,5,40%,80%,10%,0%,0%,0%,10%,Non-Solver,5
A3K00L9I9L92BJ,KP_2,28,female,right,degree,34,10,1,1,75%,100%,0%,0%,0%,0%,0%,Non-Solver,5
A37S96RT1P1IT2,KP_2,37,female,right,college,41,3,5,5,70%,60%,30%,5%,5%,0%,0%,Solver,5
A35TE5QRB5ECBN,KP_2,30,male,left,degree,41,6,5,4,18%,10%,10%,20%,20%,20%,20%,Solver,5
A1BPBUD67XIJXM,KP_2,31,female,right,high,55,7,10,9,40%,60%,30%,10%,0%,0%,0%,Non-Solver,5
A22ABLVEI5EGPL,KP_2,31,male,right,college,41,10,3,3,75%,15%,75%,10%,0%,0%,0%,Solver,5
AC6Y70F8YSHJN,KP_2,33,male,right,college,41,3,7,6,12%,5%,60%,5%,5%,10%,15%,Solver,5
A3D2U4QF7821ZW,KP_2,33,male,right,degree,34,4,6,7,30%,20%,50%,1%,25%,4%,0%,Non-Solver,5
AAASQIW3J32OL,KP_2,58,female,right,college,41,6,3,4,75%,25%,35%,40%,0%,0%,0%,Solver,5
A2FIMX1INRS3OG,KP_2,30,male,right,degree,50,8,1,1,100%,15%,17%,21%,18%,11%,18%,Non-Solver,5
AFKB7F09OVKV7,KP_2,29,male,left,college,50,6,6,6,35%,10%,5%,70%,5%,0%,10%,Non-Solver,5
A20X14OMRL0YPZ,KP_2,28,female,right,college,55,1,10,10,10%,67%,14%,4%,9%,6%,0%,Non-Solver,5
AYW62R027PUT1,KP_2,45,male,right,college,41,6,5,5,40%,25%,20%,15%,10%,10%,20%,Solver,5
A3BX2W07QY9NNG,KP_2,28,male,right,degree,50,5,6,4,64%,45%,23%,18%,7%,7%,0%,Non-Solver,5
A1OUUZSD5DD4ZN,KP_2,47,female,both,degree,41,7,7,8,2%,80%,5%,10%,0%,5%,0%,Solver,5
A3C8JI69WPTKWH,KP_2,40,female,right,college,50,3,5,5,50%,40%,20%,20%,5%,5%,10%,Non-Solver,5
A11BSFO4LMHPXQ,KP_2,42,female,right,college,41,5,5,6,40%,10%,10%,10%,10%,10%,50%,Solver,5
A2VN3OJKI3R6HE,KP_2,57,male,right,high,41,5,7,7,33%,6%,23%,9%,14%,18%,30%,Solver,5
A9LSEP71DNP4O,KP_2,34,male,right,high,55,7,6,5,60%,100%,0%,0%,0%,0%,0%,Non-Solver,5
A3S5DTVF6EDJV5,KP_2,36,male,right,college,41,7,5,5,95%,20%,40%,20%,10%,10%,0%,Solver,5
A1Q68M0X4YXHKH,KP_2,36,male,right,college,34,3,5,7,5%,10%,15%,10%,20%,45%,0%,Non-Solver,5
ACJ6NSCIWMUZI,KP_2,52,male,right,college,55,3,7,3,95%,20%,20%,20%,20%,20%,0%,Non-Solver,6
A3DUL880Y08G95,KP_2,25,male,left,degree,41,7,4,5,20%,50%,10%,15%,8%,10%,7%,Solver,6
A1ZI4VU6650Q8B,KP_2,57,male,right,college,41,8,7,8,70%,1%,19%,2%,28%,25%,25%,Solver,6
A3J801HAKE16VZ,KP_2,25,male,right,degree,50,6,4,5,80%,15%,10%,30%,10%,5%,30%,Non-Solver,6
A1RV2LERVS0A4H,KP_2,33,female,right,college,41,1,5,5,40%,10%,50%,10%,10%,10%,10%,Solver,6
A1GKD3NG1NNHRP,KP_2,60,female,left,college,50,1,10,10,18%,30%,4%,8%,15%,25%,18%,Non-Solver,6
A5BMKZRGHNSRT,KP_2,27,female,right,high,50,6,7,5,40%,30%,5%,25%,20%,0%,20%,Non-Solver,6
AM4PAC2YQPREB,KP_2,23,male,right,high,41,8,3,2,100%,30%,20%,25%,12%,12%,1%,Solver,6
A3CTXNQ2GXIQSP,KP_2,37,male,right,college,41,9,7,8,40%,25%,25%,20%,10%,10%,10%,Solver,6
A28J7H4TH29DC3,KP_2,49,female,right,college,41,6,4,6,70%,5%,45%,5%,5%,30%,10%,Solver,6
AG8NOMLGTJDTR,KP_2,30,male,right,degree,50,7,3,2,97%,15%,20%,10%,10%,25%,20%,Non-Solver,6
A14WLAP6TCEKO0,KP_2,36,male,right,college,41,3,4,7,10%,30%,20%,20%,10%,15%,5%,Solver,6
A20SXG1DHDIDI7,KP_2,47,female,right,high,50,1,8,6,50%,18%,18%,19%,15%,15%,15%,Non-Solver,6
ALDKDKRBR4LXD,KP_2,40,male,right,college,55,6,3,3,81%,34%,39%,27%,0%,0%,0%,Non-Solver,6
A29MY674488FIZ,KP_2,34,female,right,degree,50,5,4,4,90%,30%,35%,9%,6%,13%,7%,Non-Solver,6
A2VRDE2FHCBMF8,KP_2,41,male,right,high,41,7,3,5,40%,2%,45%,3%,7%,18%,25%,Solver,6
A2PXJTMWGUE5DC,KP_2,61,female,right,degree,41,6,7,6,40%,20%,40%,5%,10%,20%,5%,Solver,6
A21E62BWE2QUGU,KP_2,26,female,right,degree,50,10,9,7,99%,20%,20%,20%,20%,20%,0%,Non-Solver,6
A3L0DCUXI7X3A9,KP_2,45,male,right,college,50,5,6,6,40%,10%,15%,50%,5%,5%,15%,Non-Solver,6
A3609GDWR2JCCA,KP_2,33,female,right,high,50,1,8,5,15%,60%,20%,10%,5%,5%,0%,Non-Solver,6
AA4O2W236E3FW,KP_2,48,female,right,less,other,6,6,5,40%,20%,10%,25%,25%,10%,10%,Non-Solver,6
AKHYHJIQNGWIL,KP_2,40,male,right,high,41,3,5,6,15%,5%,30%,25%,10%,10%,20%,Solver,6
A1BNYBF79IQ89T,KP_2,56,female,right,college,55,1,10,5,50%,10%,10%,10%,20%,20%,30%,Non-Solver,6
A12HWPFXQPITHD,KP_2,29,male,right,college,41,7,4,2,70%,30%,70%,0%,0%,0%,0%,Solver,6
AN9MVFWRCF2OP,KP_2,29,male,right,college,50,7,4,5,20%,30%,30%,20%,10%,10%,0%,Non-Solver,6
A3EM2M2S1VKR85,KP_2,40,female,right,degree,34,10,10,10,50%,20%,50%,10%,10%,10%,0%,Non-Solver,6
A1MJHGH55K3O0,KP_2,30,female,right,college,41,7,6,7,30%,25%,20%,20%,10%,15%,10%,Solver,6
A15FXHC1CVNW31,KP_2,31,male,left,college,41,8,6,6,70%,5%,70%,5%,10%,5%,5%,Solver,6
AAF1SJ9FCBF75,KP_2,47,male,left,college,41,9,2,6,57%,2%,74%,1%,13%,10%,0%,Solver,6
A2OVX9UW5WANQE,KP_2,46,female,left,college,41,3,7,7,50%,8%,26%,7%,28%,29%,2%,Solver,6
A2Y9ZNZ0F24GHB,KP_2,29,female,right,college,41,7,9,8,75%,20%,30%,8%,8%,9%,25%,Solver,6
A2C84POENS2UNY,KP_2,39,female,right,degree,41,5,4,5,15%,10%,15%,14%,15%,17%,29%,Solver,6
A1UCB0D27PY623,KP_2,35,male,right,high,41,4,5,5,50%,10%,10%,10%,10%,10%,50%,Solver,6
A1RG62CQTBUGM0,KP_2,44,female,right,college,41,9,5,6,56%,0%,100%,0%,0%,0%,0%,Solver,6
A1P6LFEAY9MWAY,KP_2,31,female,right,high,41,6,3,5,40%,6%,39%,9%,8%,30%,8%,Solver,6
A3AP73DX6V0YN8,KP_2,20,male,right,high,50,1,5,7,20%,10%,20%,15%,20%,15%,20%,Non-Solver,6
A2SGICJH9F28RP,KP_2,27,male,right,college,41,5,2,6,20%,10%,90%,0%,0%,0%,0%,Solver,6
A22ZZCICZDCSTY,KP_2,28,male,right,degree,41,1,6,7,36%,31%,58%,11%,0%,0%,0%,Solver,6
A1KWIJXTC47YWE,KP_2,48,male,left,high,55,5,4,3,40%,30%,10%,30%,10%,10%,10%,Non-Solver,6
