Worker ID,Problem,Age,Gender,Strong hand,Education,Answer,Confidence,Psolve,1 second,1000 seconds,1 minute,1000 minutes,1 hour,1000 hours,2000 hours,1000000 hours,Infinity,There is no way to know without additional information,Class,group_number
AM0ICBSM87D2F,CR_Conf,23,Male,Right,College,1 hour,7,31-40%,0-10%,0-10%,0-10%,0-10%,11-20%,31-40%,0-10%,0-10%,0-10%,11-20%,Solver,19
AM2ZKQTY60RTG,CR_Conf,33,Female,Right,College,1000 hours,4,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,Non-Solver,19
AMA18W8F60Y2J,CR_Conf,50,Female,Right,High School/GED,2000 hours,3,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,21-30%,61-70%,0-10%,21-30%,11-20%,Non-Solver,19
AMAHVZOQ00EQ7,CR_Conf,29,Male,Right,Graduate Degree,1000 hours,1,11-20%,11-20%,11-20%,11-20%,11-20%,11-20%,11-20%,11-20%,11-20%,11-20%,11-20%,Non-Solver,19
AMELYCC59JKB0,CR_Conf,37,Female,Right,College,1000 hours,5,41-50%,0-10%,0-10%,0-10%,11-20%,0-10%,31-40%,31-40%,21-30%,41-50%,41-50%,Non-Solver,20
AMJ03G9G9DTUS,CR_Conf,29,Male,Right,Graduate Degree,1 hour,9,11-20%,51-60%,61-70%,51-60%,71-80%,51-60%,61-70%,41-50%,61-70%,71-80%,41-50%,Solver,20
AMNRYECHXZY34,CR_Conf,34,Male,Right,College,1000 hours,4,31-40%,0-10%,0-10%,0-10%,0-10%,31-40%,21-30%,0-10%,0-10%,11-20%,11-20%,Non-Solver,20
AMPMTF5IAAMK8,CR_Conf,37,Male,Right,Graduate Degree,1 hour,3,11-20%,11-20%,11-20%,11-20%,11-20%,0-10%,0-10%,11-20%,11-20%,11-20%,0-10%,Solver,20
AMV1E7FFPVAW4,CR_Conf,39,Female,Right,High School/GED,There is no way to know without additional information,1,11-20%,0-10%,0-10%,81-90%,11-20%,11-20%,11-20%,11-20%,11-20%,11-20%,61-70%,Non-Solver,20
AMVBT3XDCQBHI,CR_Conf,73,Male,Right,High School/GED,There is no way to know without additional information,6,11-20%,0-10%,0-10%,0-10%,0-10%,21-30%,21-30%,0-10%,0-10%,21-30%,21-30%,Non-Solver,20
AMYURTQIMAC8T,CR_Conf,31,Female,Right,College,1000 seconds,10,11-20%,0-10%,81-90%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,Non-Solver,20
AN6L87Z4LP6R5,CR_Conf,28,Male,Right,College,1 minute,6,21-30%,11-20%,61-70%,51-60%,31-40%,21-30%,21-30%,21-30%,11-20%,41-50%,21-30%,Non-Solver,20
AN7N56XWXCX45,CR_Conf,20,Male,Left,College,2000 hours,5,11-20%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,11-20%,0-10%,Non-Solver,20
ANBWJZYU2A68T,CR_Conf,46,Male,Right,Graduate Degree,1 hour,6,21-30%,0-10%,11-20%,11-20%,0-10%,41-50%,0-10%,0-10%,0-10%,0-10%,11-20%,Solver,20
ANN162CY5IAGN,CR_Conf,43,Male,Left,College,There is no way to know without additional information,9,71-80%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,11-20%,71-80%,Non-Solver,20
ANOMPD7C83M3W,CR_Conf,57,Female,Right,Graduate Degree,2000 hours,6,11-20%,0-10%,61-70%,51-60%,51-60%,51-60%,61-70%,41-50%,71-80%,0-10%,0-10%,Non-Solver,20
A5Q0UTSKAI2TQ,CR_Conf,34,Male,Both hands are equally strong,College,There is no way to know without additional information,9,11-20%,0-10%,0-10%,0-10%,11-20%,11-20%,11-20%,11-20%,11-20%,11-20%,11-20%,Non-Solver,20
A5QPJC897RQAD,CR_Conf,28,Male,Right,Graduate Degree,1000 seconds,10,21-30%,21-30%,51-60%,31-40%,81-90%,41-50%,81-90%,31-40%,81-90%,21-30%,11-20%,Non-Solver,20
A5T9IFDZ3W4T6,CR_Conf,28,Male,Right,High School/GED,1 hour,3,11-20%,0-10%,0-10%,0-10%,11-20%,41-50%,21-30%,11-20%,0-10%,0-10%,0-10%,Solver,20
ANQ0RLFEZ17W0,CR_Conf,28,Female,Right,College,1000 minutes,7,31-40%,0-10%,0-10%,0-10%,21-30%,21-30%,11-20%,0-10%,0-10%,0-10%,11-20%,Non-Solver,20
ANYB94DHDJKNO,CR_Conf,50,Female,Right,College,1 hour,8,51-60%,0-10%,0-10%,0-10%,0-10%,31-40%,11-20%,0-10%,0-10%,11-20%,11-20%,Solver,20
AO9PVVS0ETC4V,CR_Conf,28,Male,Both hands are equally strong,Graduate Degree,1000 minutes,8,11-20%,0-10%,0-10%,81-90%,81-90%,81-90%,81-90%,81-90%,81-90%,81-90%,81-90%,Non-Solver,20
AOCME08MZQHA7,CR_Conf,32,Transmasculine non-binary,Left,College,Infinity,1,21-30%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,Non-Solver,20
AOJJK61F8QF22,CR_Conf,30,Male,Right,Graduate Degree,There is no way to know without additional information,7,21-30%,0-10%,11-20%,11-20%,11-20%,21-30%,21-30%,11-20%,11-20%,11-20%,41-50%,Non-Solver,20
AORMYJSLXA8U6,CR_Conf,47,Female,Right,Graduate Degree,1000 minutes,9,11-20%,0-10%,0-10%,51-60%,61-70%,51-60%,61-70%,61-70%,51-60%,61-70%,61-70%,Non-Solver,20
AOS2PVHT2HYTL,CR_Conf,64,Female,Right,College,Infinity,8,41-50%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,41-50%,31-40%,Non-Solver,20
AOSLTO4W2A476,CR_Conf,29,Male,Right,High School/GED,There is no way to know without additional information,1,41-50%,0-10%,0-10%,0-10%,21-30%,21-30%,31-40%,0-10%,0-10%,41-50%,31-40%,Non-Solver,20
AOWW3URQNRJ6U,CR_Conf,27,Male,Right,High School/GED,Infinity,3,21-30%,0-10%,31-40%,11-20%,0-10%,0-10%,0-10%,0-10%,0-10%,11-20%,11-20%,Non-Solver,20
AP8AMEEK8U0HC,CR_Conf,30,Female,Right,Graduate Degree,1000 minutes,5,11-20%,0-10%,0-10%,41-50%,31-40%,31-40%,41-50%,21-30%,31-40%,51-60%,41-50%,Non-Solver,20
APCVD1Y1UE7XM,CR_Conf,18,Male,Right,College,1 hour,6,11-20%,0-10%,0-10%,0-10%,21-30%,21-30%,11-20%,0-10%,0-10%,11-20%,0-10%,Solver,20
APDDA1Y59RHV9,CR_Conf,55,Female,Right,College,1 second,3,0-10%,0-10%,11-20%,21-30%,31-40%,41-50%,0-10%,0-10%,0-10%,0-10%,0-10%,Non-Solver,20
APDZ10TRIR1Q9,CR_Conf,27,Male,Right,High School/GED,2000 hours,5,31-40%,0-10%,0-10%,0-10%,11-20%,21-30%,31-40%,61-70%,31-40%,11-20%,11-20%,Non-Solver,20
APEHS2JTA3FZJ,CR_Conf,35,Male,Both hands are equally strong,High School/GED,There is no way to know without additional information,6,71-80%,0-10%,0-10%,0-10%,0-10%,0-10%,51-60%,41-50%,51-60%,61-70%,61-70%,Non-Solver,20
APGBQQ5XS3Q4P,CR_Conf,32,Male,Right,Graduate Degree,There is no way to know without additional information,4,21-30%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,11-20%,41-50%,21-30%,Non-Solver,20
ARZV0T1MCI22L,CR_Conf,31,Female,Right,College,1000 minutes,2,0-10%,0-10%,11-20%,11-20%,31-40%,51-60%,41-50%,21-30%,11-20%,11-20%,11-20%,Non-Solver,21
AS2WTWYVRW9BV,CR_Conf,41,Male,Left,High School/GED,1000 hours,3,21-30%,91-100%,21-30%,11-20%,41-50%,61-70%,0-10%,51-60%,71-80%,81-90%,31-40%,Non-Solver,21
ASF5V3K4IFP4K,CR_Conf,26,Male,Left,College,1000 seconds,2,11-20%,0-10%,21-30%,0-10%,21-30%,21-30%,11-20%,0-10%,0-10%,11-20%,31-40%,Non-Solver,21
ASFR82SJYMGNU,CR_Conf,33,Female,Right,College,1 hour,7,11-20%,0-10%,11-20%,11-20%,11-20%,11-20%,11-20%,11-20%,11-20%,11-20%,11-20%,Solver,21
ASGVG12IKRQMJ,CR_Conf,29,Female,Right,College,Infinity,4,0-10%,0-10%,0-10%,0-10%,11-20%,21-30%,11-20%,11-20%,21-30%,21-30%,11-20%,Non-Solver,21
ASQQKELQ5WN35,CR_Conf,34,Male,Right,Graduate Degree,1 minute,10,61-70%,71-80%,61-70%,71-80%,81-90%,51-60%,61-70%,71-80%,61-70%,61-70%,71-80%,Non-Solver,21
ASS0YATH0WK3R,CR_Conf,26,Female,Right,College,1000 minutes,7,11-20%,0-10%,11-20%,31-40%,51-60%,31-40%,21-30%,21-30%,0-10%,41-50%,31-40%,Non-Solver,21
ASTR3EPUOKEXV,CR_Conf,29,Male,Both hands are equally strong,College,1000 minutes,8,61-70%,0-10%,0-10%,11-20%,61-70%,71-80%,0-10%,0-10%,0-10%,31-40%,11-20%,Non-Solver,21
ASU6TRBBUNLFZ,CR_Conf,47,Male,Right,College,1 hour,5,31-40%,0-10%,0-10%,0-10%,11-20%,31-40%,11-20%,11-20%,11-20%,0-10%,11-20%,Solver,21
AT0XK1SBXZZVZ,CR_Conf,35,Female,Right,Graduate Degree,Infinity,8,51-60%,0-10%,0-10%,31-40%,41-50%,51-60%,0-10%,0-10%,0-10%,61-70%,51-60%,Non-Solver,21
AT7QJKGCPSO6J,CR_Conf,35,Male,Right,College,There is no way to know without additional information,8,21-30%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,21-30%,Non-Solver,21
AT861RPSVJPNU,CR_Conf,40,Male,Both hands are equally strong,Graduate Degree,1000 seconds,8,21-30%,31-40%,21-30%,31-40%,31-40%,61-70%,51-60%,41-50%,41-50%,61-70%,61-70%,Non-Solver,21
ATADQXPHL10Y8,CR_Conf,34,Male,Right,High School/GED,1000 seconds,8,21-30%,0-10%,21-30%,11-20%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,Non-Solver,21
ATGD9YT82E25,CR_Conf,27,Male,Right,College,Infinity,4,21-30%,0-10%,0-10%,0-10%,0-10%,11-20%,11-20%,11-20%,0-10%,61-70%,0-10%,Non-Solver,21
ATHS9GUME1XCA,CR_Conf,54,Male,Right,High School/GED,1 hour,4,21-30%,11-20%,21-30%,21-30%,31-40%,61-70%,31-40%,21-30%,21-30%,11-20%,0-10%,Solver,21
ATJDYRKPNPTVZ,CR_Conf,30,Male,Right,Graduate Degree,1 minute,9,61-70%,71-80%,51-60%,71-80%,31-40%,51-60%,81-90%,31-40%,51-60%,51-60%,91-100%,Non-Solver,21
ATY1UPL3PAABG,CR_Conf,28,Male,Right,Graduate Degree,1000 hours,8,11-20%,0-10%,0-10%,0-10%,0-10%,0-10%,11-20%,11-20%,0-10%,11-20%,11-20%,Non-Solver,21
AU2NVT51E749C,CR_Conf,41,Male,Right,Graduate Degree,1 hour,7,21-30%,0-10%,0-10%,11-20%,21-30%,41-50%,31-40%,51-60%,61-70%,71-80%,81-90%,Solver,21
AU3WB2DD4QJ4B,CR_Conf,23,Female,Right,College,There is no way to know without additional information,2,0-10%,0-10%,0-10%,0-10%,0-10%,41-50%,11-20%,11-20%,0-10%,0-10%,31-40%,Non-Solver,21
AUAN582MLI96N,CR_Conf,40,Male,Right,Graduate Degree,1 minute,3,31-40%,0-10%,11-20%,31-40%,11-20%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,Non-Solver,21
AUPRMVUM25CSP,CR_Conf,35,Female,Right,Graduate Degree,1000 seconds,10,31-40%,71-80%,51-60%,71-80%,81-90%,71-80%,61-70%,51-60%,71-80%,81-90%,61-70%,Non-Solver,21
AUR00C9X9QOZJ,CR_Conf,47,Female,Right,Graduate Degree,There is no way to know without additional information,3,0-10%,0-10%,0-10%,0-10%,11-20%,11-20%,51-60%,51-60%,61-70%,71-80%,71-80%,Non-Solver,21
AUU3FYNZXKENO,CR_Conf,46,Female,Right,College,Infinity,6,0-10%,0-10%,31-40%,41-50%,31-40%,41-50%,11-20%,51-60%,11-20%,61-70%,61-70%,Non-Solver,21
AV25DTYX6HU1I,CR_Conf,45,Male,Right,College,1 hour,10,71-80%,0-10%,0-10%,41-50%,61-70%,81-90%,31-40%,41-50%,31-40%,21-30%,31-40%,Solver,21
AV7A20KYBTQHL,CR_Conf,62,Female,Right,College,There is no way to know without additional information,9,71-80%,0-10%,0-10%,0-10%,0-10%,0-10%,31-40%,0-10%,0-10%,0-10%,31-40%,Non-Solver,21
AVD6HMIO1HLFI,CR_Conf,30,Male,Right,High School/GED,Infinity,8,61-70%,0-10%,0-10%,0-10%,0-10%,11-20%,0-10%,0-10%,0-10%,61-70%,21-30%,Non-Solver,21
AVI5GB8RDVIB2,CR_Conf,52,Male,Right,College,Infinity,10,0-10%,0-10%,0-10%,0-10%,0-10%,11-20%,11-20%,21-30%,0-10%,0-10%,0-10%,Non-Solver,21
AVJUIF9QHQRY8,CR_Conf,35,Female,Right,College,1 minute,6,31-40%,0-10%,11-20%,31-40%,21-30%,41-50%,11-20%,0-10%,0-10%,31-40%,41-50%,Non-Solver,21
AVNXCGTZQ1CFK,CR_Conf,34,Female,Right,Graduate Degree,There is no way to know without additional information,3,21-30%,0-10%,11-20%,11-20%,11-20%,21-30%,11-20%,21-30%,31-40%,41-50%,61-70%,Non-Solver,21
AVSYT8SWYR5Q0,CR_Conf,35,Female,Right,Graduate Degree,There is no way to know without additional information,4,21-30%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,Non-Solver,21
APGX2WZ59OWDN,CR_Conf,25,Female,Right,College,Infinity,6,21-30%,0-10%,0-10%,0-10%,11-20%,11-20%,11-20%,11-20%,11-20%,21-30%,21-30%,Non-Solver,22
APKFFVZKZJ6NZ,CR_Conf,27,Male,Left,College,There is no way to know without additional information,7,31-40%,0-10%,0-10%,0-10%,0-10%,21-30%,11-20%,11-20%,0-10%,11-20%,21-30%,Non-Solver,22
APRG355NLSZ09,CR_Conf,24,Female,Right,College,2000 hours,7,31-40%,0-10%,0-10%,0-10%,0-10%,0-10%,21-30%,21-30%,0-10%,0-10%,11-20%,Non-Solver,22
AVU1N78F92K93,CR_Conf,28,Male,Right,College,There is no way to know without additional information,2,11-20%,0-10%,11-20%,11-20%,41-50%,11-20%,0-10%,0-10%,0-10%,0-10%,0-10%,Non-Solver,22
AVZOC3OGBQRX2,CR_Conf,38,Female,Right,Graduate Degree,Infinity,3,21-30%,0-10%,0-10%,0-10%,0-10%,11-20%,0-10%,0-10%,0-10%,21-30%,21-30%,Non-Solver,22
AWEBSKTX07CGL,CR_Conf,45,Female,Right,Graduate Degree,1000 seconds,8,61-70%,61-70%,51-60%,71-80%,61-70%,51-60%,41-50%,71-80%,61-70%,51-60%,71-80%,Non-Solver,22
AWJ5RYXJCSGV0,CR_Conf,47,Female,Both hands are equally strong,Graduate Degree,2000 hours,5,11-20%,0-10%,0-10%,0-10%,0-10%,11-20%,11-20%,11-20%,0-10%,11-20%,0-10%,Non-Solver,22
AWMO0GYE4AYF9,CR_Conf,28,Male,Right,Graduate Degree,1 hour,10,31-40%,11-20%,11-20%,11-20%,21-30%,21-30%,11-20%,0-10%,0-10%,0-10%,0-10%,Solver,22
AWNQ9E62XRB0O,CR_Conf,20,Male,Right,High School/GED,1 minute,4,21-30%,21-30%,11-20%,41-50%,21-30%,21-30%,11-20%,11-20%,0-10%,0-10%,0-10%,Non-Solver,22
AWQP20VVZBLSF,CR_Conf,32,Male,Right,High School/GED,2000 hours,6,21-30%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,11-20%,11-20%,0-10%,0-10%,Non-Solver,22
AWWLXQEJDDH4F,CR_Conf,39,Male,Right,College,2000 hours,7,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,21-30%,61-70%,11-20%,31-40%,41-50%,Non-Solver,22
AWXIEV9H6KT9E,CR_Conf,25,Male,Right,College,1 hour,5,31-40%,31-40%,21-30%,31-40%,31-40%,41-50%,31-40%,41-50%,41-50%,21-30%,31-40%,Solver,22
AWY6W20U8H3JA,CR_Conf,55,Female,Left,College,Infinity,6,51-60%,0-10%,0-10%,11-20%,31-40%,31-40%,41-50%,21-30%,0-10%,41-50%,41-50%,Non-Solver,22
AWZCVOUD0LPT,CR_Conf,28,Male,Right,Graduate Degree,1000 minutes,10,71-80%,0-10%,21-30%,31-40%,21-30%,51-60%,51-60%,61-70%,41-50%,71-80%,61-70%,Non-Solver,22
AX4QV62HBKJ34,CR_Conf,55,Male,Right,Graduate Degree,Infinity,1,11-20%,0-10%,0-10%,0-10%,0-10%,0-10%,11-20%,11-20%,11-20%,21-30%,21-30%,Non-Solver,22
AXFTXWW2B0Y5B,CR_Conf,28,Female,Right,College,1000 hours,4,11-20%,0-10%,0-10%,0-10%,0-10%,11-20%,11-20%,0-10%,0-10%,0-10%,11-20%,Non-Solver,22
AXLSMBLT1SFFN,CR_Conf,27,Male,Right,Graduate Degree,1 minute,7,21-30%,21-30%,31-40%,31-40%,41-50%,41-50%,31-40%,31-40%,31-40%,31-40%,21-30%,Non-Solver,22
AXPCNT7S29XX2,CR_Conf,33,Non Binary,Right,College,There is no way to know without additional information,4,91-100%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,41-50%,41-50%,Non-Solver,22
AXPZAP62ZYWP8,CR_Conf,23,Male,Right,High School/GED,There is no way to know without additional information,4,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,31-40%,41-50%,Non-Solver,22
AXQDSQGBC79S2,CR_Conf,36,Male,Right,College,1000 minutes,5,11-20%,0-10%,0-10%,0-10%,41-50%,11-20%,41-50%,21-30%,21-30%,21-30%,11-20%,Non-Solver,22
AXYQUQZ664FI1,CR_Conf,55,Female,Right,College,Infinity,6,51-60%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,Non-Solver,22
AY0GG2W8XO1LP,CR_Conf,41,Male,Right,Graduate Degree,1000 hours,5,11-20%,0-10%,0-10%,11-20%,0-10%,41-50%,41-50%,0-10%,11-20%,0-10%,0-10%,Non-Solver,22
AY20GP97EYIOU,CR_Conf,47,Male,Right,College,1 hour,3,11-20%,0-10%,0-10%,0-10%,0-10%,11-20%,0-10%,0-10%,0-10%,11-20%,21-30%,Solver,22
AY48Z6P9V2BPA,CR_Conf,35,Female,Right,College,1 minute,9,11-20%,61-70%,71-80%,81-90%,71-80%,61-70%,71-80%,81-90%,81-90%,71-80%,61-70%,Non-Solver,22
AY832D29HUURG,CR_Conf,25,Male,Right,Graduate Degree,There is no way to know without additional information,3,51-60%,51-60%,31-40%,11-20%,11-20%,11-20%,11-20%,11-20%,41-50%,11-20%,0-10%,Non-Solver,22
AY8JXIKA2CXM4,CR_Conf,25,Male,Right,Graduate Degree,2000 hours,9,21-30%,51-60%,71-80%,51-60%,61-70%,41-50%,61-70%,71-80%,61-70%,51-60%,71-80%,Non-Solver,22
AYI52R70VMEG5,CR_Conf,41,Male,Right,High School/GED,Infinity,7,41-50%,0-10%,0-10%,0-10%,11-20%,11-20%,21-30%,21-30%,21-30%,31-40%,11-20%,Non-Solver,22
AYJOS6IIR2HTA,CR_Conf,28,Female,Right,Graduate Degree,1 minute,8,31-40%,61-70%,51-60%,41-50%,31-40%,51-60%,61-70%,71-80%,51-60%,31-40%,41-50%,Non-Solver,22
AYQAO6B91191T,CR_Conf,29,Male,Right,High School/GED,Infinity,7,31-40%,0-10%,0-10%,0-10%,0-10%,11-20%,21-30%,0-10%,0-10%,31-40%,0-10%,Non-Solver,22
AYSG3J2U3UF1Y,CR_Conf,58,Male,Right,College,1 minute,7,21-30%,11-20%,21-30%,11-20%,0-10%,11-20%,0-10%,0-10%,0-10%,0-10%,31-40%,Non-Solver,22
AYW62R027PUT1,CR_Conf,43,Male,Right,College,1000 hours,3,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,11-20%,11-20%,11-20%,21-30%,31-40%,Non-Solver,23
AYXDE087J2KO,CR_Conf,47,Female,Right,College,There is no way to know without additional information,6,0-10%,0-10%,0-10%,0-10%,21-30%,11-20%,41-50%,61-70%,71-80%,81-90%,51-60%,Non-Solver,23
AYY7JSAD0SGXL,CR_Conf,37,Female,Right,Graduate Degree,There is no way to know without additional information,8,11-20%,0-10%,0-10%,0-10%,0-10%,0-10%,11-20%,11-20%,11-20%,11-20%,11-20%,Non-Solver,23
APVWMP5952IOY,CR_Conf,30,Male,Right,College,Infinity,6,51-60%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,11-20%,11-20%,0-10%,Non-Solver,23
APY5858P6BTDY,CR_Conf,29,Female,Right,College,1 hour,9,11-20%,0-10%,0-10%,0-10%,51-60%,31-40%,81-90%,41-50%,71-80%,61-70%,21-30%,Solver,23
AQ2Z8GSCNU8H6,CR_Conf,28,Male,Left,College,Infinity,5,61-70%,0-10%,0-10%,0-10%,11-20%,11-20%,31-40%,51-60%,41-50%,81-90%,11-20%,Non-Solver,23
A002160837SWJFPIAI7L7,CR_Conf,25,Male,Right,College,1000 hours,1,21-30%,0-10%,0-10%,0-10%,0-10%,0-10%,11-20%,11-20%,0-10%,11-20%,11-20%,Non-Solver,23
A102UPOA52HS8M,CR_Conf,20,Female,Right,High School/GED,1000 minutes,2,0-10%,0-10%,21-30%,41-50%,11-20%,0-10%,31-40%,61-70%,31-40%,81-90%,61-70%,Non-Solver,23
A10443E11ZWEHJ,CR_Conf,52,Male,Right,High School/GED,There is no way to know without additional information,8,21-30%,0-10%,0-10%,0-10%,21-30%,11-20%,31-40%,41-50%,51-60%,61-70%,71-80%,Non-Solver,23
A10NI1QOGWX2YB,CR_Conf,36,Female,Right,High School/GED,There is no way to know without additional information,9,11-20%,0-10%,0-10%,0-10%,0-10%,11-20%,0-10%,0-10%,0-10%,21-30%,21-30%,Non-Solver,23
