Worker ID,Problem,Age,Gender,Strong hand,Education,Answer,Confidence,Subjective Difficulty,Objective Difficutly,Psolve,80,90,100,200,300,400,500,Class,group_number
A3PYD7EU2WFST6,Bakery,32,Male,Right,Graduate Degree,80,10,5,6,60%,60%,10%,10%,0%,0%,0%,20%,Non-Solver,14
A2MHY064OSYIBI,Bakery,49,Female,Right,College,80,10,2,3,60%,60%,15%,5%,5%,5%,5%,5%,Non-Solver,14
A2EZNZ6X58RTNR,Bakery,37,Male,Right,Graduate Degree,500,10,2,4,85%,0%,0%,0%,0%,5%,10%,85%,Non-Solver,14
A1BVG13MHBM1YD,Bakery,43,Female,Left,High School/GED,80,10,1,1,95%,95%,5%,0%,0%,0%,0%,0%,Non-Solver,14
ACJ6NSCIWMUZI,Bakery,52,Male,Right,High School/GED,80,4,7,4,80%,45%,30%,5%,5%,5%,5%,5%,Non-Solver,14
A8B5O56Q0YJXW,Bakery,40,Male,Right,Graduate Degree,100,10,1,1,75%,40%,5%,5%,10%,15%,15%,10%,Solver,14
A1A8MBDIAQT43U,Bakery,29,Male,Right,Graduate Degree,500,10,1,3,30%,10%,20%,30%,20%,10%,10%,0%,Non-Solver,14
A1VXDD6BFF97OF,Bakery,33,Female,Right,College,80,10,3,2,75%,75%,15%,10%,0%,0%,0%,0%,Non-Solver,14
A1H2UHJ78F185L,Bakery,30,Male,Right,Graduate Degree,80,7,4,5,70%,80%,15%,5%,0%,0%,0%,0%,Non-Solver,14
A1SHLWKA0UH1IS,Bakery,55,Female,Right,College,100,10,1,6,65%,30%,0%,65%,0%,0%,0%,5%,Solver,14
A2TVJTQ4VXATE6,Bakery,28,Male,Right,High School/GED,500,10,1,1,75%,0%,0%,0%,0%,0%,25%,75%,Non-Solver,14
A12ABRH7TAD6ZJ,Bakery,48,Male,Right,Graduate Degree,500,10,1,1,100%,0%,0%,0%,0%,0%,0%,100%,Non-Solver,14
A2QBFXY9UQMJTT,Bakery,38,Male,Right,College,100,10,2,2,85%,5%,5%,85%,5%,0%,0%,0%,Solver,14
A3IA63S5XSB41S,Bakery,33,Female,Right,Graduate Degree,80,9,3,2,75%,45%,10%,15%,10%,10%,5%,5%,Non-Solver,14
A37GOGQDYDT44K,Bakery,31,Female,Right,College,80,5,7,7,40%,40%,0%,60%,0%,0%,0%,0%,Non-Solver,14
A3V2XCDF45VN9X,Bakery,44,Male,Right,Graduate Degree,100,10,1,5,75%,5%,15%,75%,5%,0%,0%,0%,Solver,15
A30HUZHJBOX1LK,Bakery,52,Male,Right,Graduate Degree,100,10,2,4,80%,10%,10%,80%,0%,0%,0%,0%,Solver,15
A1IDTE46L2A3OB,Bakery,48,Male,Right,Graduate Degree,80,10,7,4,80%,30%,30%,10%,10%,10%,10%,0%,Non-Solver,15
.ALADMO4F1UNQ6,Bakery,47,Female,Right,Graduate Degree,80,7,4,2,80%,80%,5%,0%,5%,5%,5%,0%,Non-Solver,15
A1KS9LITOVPAT8,Bakery,34,Male,Right,College,80,10,1,5,75%,75%,0%,25%,0%,0%,0%,0%,Non-Solver,15
A1V2H0UF94ATWY,Bakery,60,Male,Right,High School/GED,100,9,2,4,80%,15%,0%,80%,0%,0%,0%,5%,Solver,15
A3BJ8CUB26XYJC,Bakery,62,Female,Right,Graduate Degree,80,10,5,6,50%,70%,5%,5%,5%,5%,5%,5%,Non-Solver,15
A248QG4DPULP46,Bakery,64,Female,Right,College,80,10,1,3,95%,95%,5%,0%,0%,0%,0%,0%,Non-Solver,15
A8028AFBBS29G,Bakery,65,Female,Right,High School/GED,80,8,4,3,90%,90%,5%,5%,0%,0%,0%,0%,Non-Solver,15
A24ZP6TOKYBSQS,Bakery,22,Male,Right,College,80,10,3,4,50%,20%,50%,20%,5%,5%,0%,0%,Non-Solver,15
AB036D1V69QGV,Bakery,35,Female,Right,Graduate Degree,80,9,4,4,95%,95%,0%,0%,0%,0%,5%,0%,Non-Solver,15
A37R0JYAB3QEX9,Bakery,47,Male,Right,High School/GED,80,10,1,1,95%,90%,5%,5%,0%,0%,0%,0%,Non-Solver,15
A21TM2CB9HS7IM,Bakery,35,Female,Right,Graduate Degree,100,10,1,1,10%,70%,15%,10%,0%,0%,5%,0%,Solver,15
A1F1BIPJR11LSR,Bakery,34,Prefer not to say,Right,College,80,9,2,3,80%,80%,10%,5%,5%,0%,0%,0%,Non-Solver,15
A1SIUJEL2LS8UO,Bakery,31,Male,Right,College,80,10,1,1,90%,90%,5%,5%,0%,0%,0%,0%,Non-Solver,15
A15GLNTVDPCXUQ,Bakery,32,Male,Right,Graduate Degree,100,4,2,7,23%,10%,10%,23%,7%,50%,0%,0%,Solver,15
AJXIC6Q5EM76P,Bakery,61,Male,Right,High School/GED,80,10,2,4,40%,50%,0%,50%,0%,0%,0%,0%,Non-Solver,15
A2YCMT5BPA0AG9,Bakery,50,Male,Right,College,100,7,3,4,90%,10%,20%,70%,0%,0%,0%,0%,Solver,15
2054606,Bakery,31,Male,Left,Graduate Degree,100,8,3,6,30%,50%,15%,30%,5%,0%,0%,0%,Solver,15
A09354962P34U7ILOPYKP,Bakery,50,Male,Right,Graduate Degree,200,5,5,6,60%,5%,50%,25%,20%,0%,0%,0%,Non-Solver,15
AV3CA0IYNRCCJ,Bakery,63,Female,Right,College,80,10,3,3,80%,80%,20%,0%,0%,0%,0%,0%,Non-Solver,15
AIH3QEU3564PA,Bakery,28,Male,Right,Graduate Degree,100,10,6,7,40%,25%,20%,15%,15%,10%,10%,5%,Solver,15
A1MJHGH55K3O0,Bakery,30,Female,Right,College,80,10,4,4,55%,50%,10%,10%,10%,10%,5%,5%,Non-Solver,15
AFDC9A6Z60W2Z,Bakery,48,Male,Right,High School/GED,100,10,2,4,75%,5%,3%,75%,3%,3%,3%,8%,Solver,15
AMZV70TID53WY,Bakery,26,Male,Right,College,80,8,2,3,80%,85%,0%,0%,0%,5%,5%,5%,Non-Solver,15
A1UCB0D27PY623,Bakery,35,Prefer not to say,Right,High School/GED,100,10,1,1,60%,5%,5%,75%,5%,0%,0%,10%,Solver,15
A3RLCGRXA34GC0,Bakery,50,Male,Left,College,100,9,3,5,50%,40%,20%,40%,0%,0%,0%,0%,Solver,15
A2541C8MY0BYV3,Bakery,29,Male,Right,College,200,6,5,6,35%,15%,30%,40%,5%,5%,5%,0%,Non-Solver,15
AZNIEFUIVB2H0,Bakery,52,Male,Left,College,100,8,5,2,75%,10%,15%,75%,0%,0%,0%,0%,Solver,15
A2MBONFYCEPP8K,Bakery,38,Female,Right,High School/GED,80,8,3,4,40%,60%,20%,5%,5%,5%,5%,0%,Non-Solver,15
A23KAJRDVCVGOE,Bakery,41,Male,Left,High School/GED,80,9,3,6,98%,85%,10%,5%,0%,0%,0%,0%,Non-Solver,15
