Worker ID,Problem,Answer,box1,box2,box3,box4,box5,box6,Subjective Difficulty,Objective Difficutly,Class,group_number
5S7d2U0KA,SOKO2BOX,box5,0.05,0.45,0.15,0.15,0.1,0.1,9,9,Non-Solver,78
5T7W2L0rA,SOKO2BOX,box1,0.6,0.2,0.2,0.0,0.0,0.0,7,7,Solver,78
5W8p9y5xA,SOKO2BOX,box5,0.05,0.3,0.05,0.05,0.5,0.05,5,5,Non-Solver,78
5x3s1s5jA,SOKO2BOX,box3,0.1,0.2,0.4,0.1,0.1,0.1,8,5,Non-Solver,78
6d3H1k4TA,SOKO2BOX,box2,0.0,0.7,0.0,0.3,0.0,0.0,9,7,Non-Solver,78
6e1y2T7sA,SOKO2BOX,box1,0.5,0.1,0.1,0.1,0.1,0.1,6,9,Solver,78
6G4A6Q8dA,SOKO2BOX,box3,0.2,0.1,0.6,0.0,0.05,0.05,10,8,Non-Solver,78
6m1u7I8rA,SOKO2BOX,box3,0.0,0.1,0.1,0.7,0.1,0.0,9,9,Non-Solver,78
6w7f9W4lA,SOKO2BOX,box1,0.7,0.0,0.0,0.3,0.0,0.0,10,10,Solver,78
7a1c4m5yA,SOKO2BOX,box1,0.75,0.1,0.1,0.0,0.0,0.05,8,7,Solver,78
7h3i0l1TA,SOKO2BOX,box1,1.0,0.0,0.0,0.0,0.0,0.0,6,9,Solver,78
7I0Q5S9MA,SOKO2BOX,box6,0.0,0.2,0.0,0.0,0.0,0.8,8,10,Non-Solver,78
7V9r2o0wA,SOKO2BOX,box1,0.75,0.05,0.2,0.0,0.0,0.0,9,9,Solver,78
7y5Q0H9kA,SOKO2BOX,box4,0.0,0.2,0.0,0.8,0.0,0.0,8,8,Non-Solver,78
7z5I5J9uA,SOKO2BOX,box2,0.1,0.7,0.1,0.0,0.0,0.1,7,6,Non-Solver,78
8g1R6j5SA,SOKO2BOX,box1,0.65,0.05,0.05,0.2,0.0,0.05,5,4,Solver,78
8h8W3a2xA,SOKO2BOX,box2,0.0,1.0,0.0,0.0,0.0,0.0,5,5,Non-Solver,78
8I8L0H8FA,SOKO2BOX,box2,0.0,0.5,0.5,0.0,0.0,0.0,7,5,Non-Solver,78
8K2O8F0mA,SOKO2BOX,box4,0.0,0.0,0.04,0.0,0.0,0.0,4,5,Non-Solver,78
8N0d4c1CA,SOKO2BOX,box2,0.2,0.2,0.2,0.1,0.1,0.2,7,7,Non-Solver,78
8N2G3F4qA,SOKO2BOX,box1,0.75,0.1,0.15,0.0,0.0,0.0,5,5,Solver,78
8R0F4z2qA,SOKO2BOX,box1,1.0,0.0,0.0,0.0,0.0,0.0,10,10,Solver,78
8T8K5b4WA,SOKO2BOX,box1,0.0,0.5,0.5,0.0,0.0,0.0,10,10,Solver,78
9A5x2H4OA,SOKO2BOX,box1,0.2,0.3,0.1,0.2,0.1,0.1,5,5,Solver,78
9B6A4L4kA,SOKO2BOX,box1,1.0,0.0,0.0,0.0,0.0,0.0,7,5,Solver,78
9k7E9M9MA,SOKO2BOX,box3,0.0,0.2,0.8,0.0,0.0,0.0,2,4,Non-Solver,78
9l0Q7V6uA,SOKO2BOX,box2,0.05,0.8,0.15,0.0,0.0,0.0,10,10,Non-Solver,78
9t8H3y5nA,SOKO2BOX,box5,0.2,0.1,0.1,0.25,0.25,0.1,5,5,Non-Solver,78
9W6B0U8CA,SOKO2BOX,box3,0.1,0.2,0.7,0.0,0.0,0.0,9,8,Non-Solver,78
9W9O3l3hA,SOKO2BOX,box2,0.0,1.0,0.0,0.0,0.0,0.0,7,7,Non-Solver,78
