Worker ID,Problem,Age,Gender,Strong hand,Education,Answer,Confidence,Psolve,ABC,ACB,BCA,BAC,CAB,CBA,Class,group_number
A2DHLRV1OE925A,Pills,28,Male,Right,College,ABC,7,51-60%,51-60%,61-70%,61-70%,51-60%,51-60%,61-70%,Non-Solver,75
A1VOHR7TYJPT0R,Pills,36,Female,Right,College,ACB,7,21-30%,21-30%,21-30%,0-10%,0-10%,0-10%,0-10%,Solver,75
A1C5H6OY3HGO4U,Pills,36,Male,Right,Graduate Degree,ACB,5,31-40%,11-20%,21-30%,31-40%,31-40%,11-20%,11-20%,Solver,75
A27OFZ8AKEIQ0K,Pills,35,Female,Right,College,ABC,8,61-70%,41-50%,51-60%,31-40%,41-50%,31-40%,41-50%,Non-Solver,75
A3HMDGRGC5JB7E,Pills,33,Female,Right,College,BCA,2,21-30%,31-40%,11-20%,0-10%,21-30%,41-50%,51-60%,Non-Solver,75
A18ILYDB04VEE9,Pills,26,Female,Right,Graduate Degree,ABC,8,41-50%,61-70%,51-60%,51-60%,31-40%,51-60%,41-50%,Non-Solver,75
A2LR1HKNOVDTJ8,Pills,49,Male,Left,College,BAC,1,11-20%,11-20%,11-20%,11-20%,11-20%,11-20%,11-20%,Non-Solver,75
A28AX4H70DPKKK,Pills,30,Male,Right,High School/GED,BAC,10,91-100%,0-10%,0-10%,0-10%,81-90%,0-10%,0-10%,Non-Solver,75
A377LTGWJKY2IW,Pills,50,Female,Right,High School/GED,ABC,1,0-10%,0-10%,11-20%,21-30%,0-10%,11-20%,0-10%,Non-Solver,75
A39VDI1CVOMMIN,Pills,21,Male,Right,College,ACB,8,41-50%,21-30%,11-20%,0-10%,0-10%,0-10%,0-10%,Solver,75
A2A6FH0F7LD9ND,Pills,55,Female,Right,High School/GED,BAC,9,21-30%,0-10%,0-10%,21-30%,21-30%,31-40%,0-10%,Non-Solver,75
A2YOVBJ9EXAI8W,Pills,33,Male,Right,High School/GED,ACB,7,31-40%,21-30%,31-40%,21-30%,0-10%,0-10%,0-10%,Solver,75
A3MFK5UEUG95M3,Pills,35,Male,Right,College,ACB,8,21-30%,11-20%,21-30%,11-20%,11-20%,0-10%,11-20%,Solver,76
A2WHC086WNUQNB,Pills,52,Female,Right,College,ACB,7,51-60%,41-50%,51-60%,21-30%,21-30%,21-30%,21-30%,Solver,76
A39ROW50DWRRKT,Pills,35,Male,Right,High School/GED,BAC,4,31-40%,11-20%,21-30%,21-30%,11-20%,21-30%,21-30%,Non-Solver,76
A2ZL5GAZK6S0H1,Pills,27,Male,Left,Graduate Degree,BCA,8,71-80%,11-20%,31-40%,31-40%,41-50%,51-60%,51-60%,Non-Solver,76
AA8PZKO9XGCKO,Pills,26,Female,Right,High School/GED,ACB,7,41-50%,0-10%,41-50%,0-10%,0-10%,0-10%,0-10%,Solver,76
A15F0IM3OS0NJG,Pills,32,Male,Right,Graduate Degree,BAC,8,31-40%,61-70%,41-50%,61-70%,51-60%,51-60%,71-80%,Non-Solver,76
A27CB6JIC5MZFR,Pills,29,Male,Right,College,ACB,6,21-30%,11-20%,21-30%,21-30%,11-20%,11-20%,0-10%,Solver,76
A2FE0I7W269C1C,Pills,37,Female,Right,High School/GED,CAB,3,21-30%,0-10%,0-10%,21-30%,11-20%,11-20%,0-10%,Non-Solver,76
A379F1RR5E3SVU,Pills,39,Male,Right,College,ACB,8,61-70%,0-10%,61-70%,0-10%,31-40%,0-10%,0-10%,Solver,76
A349KZN1TIW8XQ,Pills,29,Male,Right,Graduate Degree,BAC,9,81-90%,61-70%,41-50%,71-80%,61-70%,51-60%,41-50%,Non-Solver,76
A1LWWVCY9FPIAW,Pills,23,Male,Left,High School/GED,ACB,5,11-20%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,Solver,76
A2GNG7DWHQA6ZZ,Pills,33,Male,Right,College,ABC,6,31-40%,31-40%,0-10%,0-10%,21-30%,0-10%,0-10%,Non-Solver,76
A3T08B0RTD7PRH,Pills,30,Male,Right,College,ACB,7,51-60%,31-40%,51-60%,41-50%,21-30%,51-60%,51-60%,Solver,76
A3CXK1KSRGU27V,Pills,29,Male,Right,High School/GED,ABC,2,21-30%,21-30%,31-40%,11-20%,11-20%,31-40%,11-20%,Non-Solver,76
AA4KKLIU4C3NY,Pills,43,Male,Right,College,ACB,9,11-20%,21-30%,31-40%,21-30%,21-30%,31-40%,31-40%,Solver,76
A2MHPG30DV35JM,Pills,30,Female,Right,Graduate Degree,BAC,7,41-50%,41-50%,31-40%,11-20%,41-50%,21-30%,11-20%,Non-Solver,76
A8VFIXE5FL8C6,Pills,27,Female,Right,College,ACB,9,41-50%,11-20%,41-50%,11-20%,11-20%,11-20%,11-20%,Solver,76
A3RYI5HXC2MJLN,Pills,38,Male,Right,High School/GED,ABC,7,41-50%,51-100%,0-10%,11-20%,0-10%,0-10%,0-10%,Non-Solver,76
A36SM7QM8OK3H6,Pills,31,Female,Right,College,BAC,8,31-40%,11-20%,11-20%,11-20%,21-30%,11-20%,11-20%,Non-Solver,76
A320QA9HJFUOZO,Pills,32,Male,Right,College,CAB,3,21-30%,21-30%,11-20%,21-30%,11-20%,11-20%,11-20%,Non-Solver,76
A2FGDZX6Q0AFVM,Pills,21,Male,Left,High School/GED,ABC,5,21-30%,31-40%,0-10%,11-20%,11-20%,0-10%,0-10%,Non-Solver,76
A2N2GFB33ZMYGF,Pills,37,Male,Right,College,ACB,5,21-30%,11-20%,21-30%,11-20%,11-20%,21-30%,11-20%,Solver,76
A2EJ7U3TZAKROG,Pills,42,Male,Right,Graduate Degree,ACB,6,21-30%,0-10%,21-30%,11-20%,0-10%,11-20%,0-10%,Solver,76
A2PXJTMWGUE5DC,Pills,59,Female,Right,College,BCA,2,21-30%,0-10%,41-50%,11-20%,21-30%,31-40%,51-100%,Non-Solver,76
AL2J5M8WQIKMI,Pills,39,Male,Right,High School/GED,BCA,3,11-20%,11-20%,11-20%,11-20%,11-20%,11-20%,11-20%,Non-Solver,76
AJXUWIDZ3HTC6,Pills,35,Male,Right,College,BCA,6,11-20%,41-50%,31-40%,21-30%,41-50%,41-50%,31-40%,Non-Solver,76
A2WZ8ZEB00LYF7,Pills,27,Male,Right,High School/GED,ACB,5,31-40%,31-40%,21-30%,31-40%,21-30%,21-30%,41-50%,Solver,76
A48WNR6C4CI3J,Pills,35,Male,Right,High School/GED,BAC,1,11-20%,11-20%,11-20%,11-20%,11-20%,11-20%,11-20%,Non-Solver,76
A1PTH9KTRO06EG,Pills,24,Male,Right,College,ACB,10,41-50%,41-50%,51-100%,0-10%,0-10%,0-10%,0-10%,Solver,76
A1VAL7L9L79IN0,Pills,28,Male,Right,High School/GED,ACB,7,51-100%,11-20%,31-40%,0-10%,11-20%,11-20%,0-10%,Solver,76
A6ZAKE3FP8YKY,Pills,30,Male,Right,Graduate Degree,BAC,1,21-30%,31-40%,11-20%,11-20%,31-40%,11-20%,11-20%,Non-Solver,76
A31681CCEVDIH3,Pills,31,Female,Right,College,BCA,1,21-30%,0-10%,11-20%,21-30%,0-10%,11-20%,11-20%,Non-Solver,76
A2N825X4R5H7EK,Pills,30,Male,Right,College,ABC,9,51-100%,41-50%,31-40%,31-40%,41-50%,41-50%,31-40%,Non-Solver,76
A1CQ45RYFB2K5P,Pills,26,Female,Right,Graduate Degree,ABC,10,51-100%,51-100%,11-20%,0-10%,0-10%,0-10%,11-20%,Non-Solver,76
